problem_id,rating,tags
2132_C2,1400.0,"['binary search', 'greedy', 'math']"
2132_C1,1000.0,"['greedy', 'math']"
2132_B,900.0,['math']
2132_A,800.0,"['brute force', 'implementation', 'strings']"
2131_H,2600.0,"['brute force', 'constructive algorithms', 'graphs', 'greedy', 'math', 'number theory']"
2131_G,2000.0,"['bitmasks', 'brute force', 'data structures', 'dfs and similar', 'dp', 'math']"
2131_F,1900.0,"['binary search', 'data structures', 'greedy', 'greedy', 'math', 'sortings', 'two pointers']"
2131_E,1400.0,"['brute force', 'greedy']"
2131_D,1400.0,"['data structures', 'graphs', 'greedy', 'trees']"
2131_C,1100.0,"['math', 'number theory']"
2131_B,800.0,"['constructive algorithms', 'greedy', 'math']"
2131_A,800.0,['math']
2130_B,1100.0,['constructive algorithms']
2130_A,800.0,"['greedy', 'math']"
2129_F2,3500.0,"['interactive', 'interactive']"
2129_F1,3500.0,['interactive']
2129_E,3000.0,"['data structures', 'graphs', 'sortings']"
2129_D,2600.0,"['brute force', 'combinatorics', 'dp', 'implementation', 'math']"
2129_C3,2300.0,"['binary search', 'bitmasks', 'constructive algorithms', 'dp', 'interactive']"
2129_C2,2000.0,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']"
2129_C1,1900.0,"['binary search', 'bitmasks', 'constructive algorithms', 'interactive']"
2129_B,1600.0,"['brute force', 'data structures', 'dp', 'greedy', 'sortings']"
2129_A,1300.0,"['constructive algorithms', 'dp', 'dsu', 'graphs', 'greedy', 'sortings']"
2128_F,3200.0,"['graphs', 'greedy', 'shortest paths']"
2128_E2,2600.0,"['binary search', 'constructive algorithms', 'data structures', 'math', 'two pointers']"
2128_E1,1900.0,"['binary search', 'data structures', 'dp', 'greedy', 'math']"
2128_D,1600.0,"['brute force', 'combinatorics', 'dp', 'greedy', 'math']"
2128_C,1200.0,"['greedy', 'math']"
2128_B,1100.0,"['constructive algorithms', 'greedy', 'sortings', 'two pointers']"
2128_A,800.0,"['greedy', 'sortings']"
2127_H,3100.0,"['brute force', 'dfs and similar', 'dp', 'flows', 'graph matchings', 'graphs', 'greedy', 'implementation', 'probabilities', 'trees']"
